ADM1_EN,ADM2_EN,2021_flooded_area_ha,2020_flooded_area_ha,area_ha,2020_share_flooded_perc,"2021_share_flooded_perc
"
Turkistan Region,Sayram District,32,20,105494,0.0189584242,0.030333
Turkistan Region,Maktaaral District,555,733,83893,0.8737320158,0.661557
Turkistan Region,Saryagash District,23,19,412075,0.0046108111,0.005582
Turkistan Region,Arys,47,32,640346,0.0049972983,0.007340
Turkistan Region,Kazygurt District,8,9,411874,0.0021851343,0.001942
Turkistan Region,Keles District,125,89,349808,0.0254425285,0.035734
Turkistan Region,Ordabasy District,121,20,263779,0.0075821047,0.045872
Turkistan Region,Sozak District,2111,1131,4112090,0.0275042618,0.051336
Turkistan Region,Shardara District,881,869,1290827,0.0673211825,0.068251
Turkistan Region,Baydibek District,40,3,721145,0.0004160051,0.005547
Turkistan Region,Kentau,1251,48,769350,0.0062390329,0.162605
Turkistan Region,Zhetisay District,145,214,99802,0.2144245606,0.145288
Turkistan Region,Turkestan,2,1,28166,0.0035503799,0.007101
Turkistan Region,Tulkibas District,7,1,234251,0.0004268925,0.002988
Turkistan Region,Otyrar District,446,60,1793891,0.0033446848,0.024862
Turkistan Region,Tole Bi District,18,5,298540,0.0016748174,0.006029
Turkistan Region,,5813,3255,11615332,0.0280233057,0.050046
Sirdaryo Region,,3217,2852,435306,0.6551713048,0.739020
Sirdaryo Region,Sardoba,196,134,55921,0.2396237549,0.350494
Sirdaryo Region,Khavas,80,20,65307,0.0306245885,0.122498
Sirdaryo Region,Mirzaabad,1649,2227,83844,2.6561232766,1.966748
Sirdaryo Region,Bayaut,296,116,40179,0.2887080316,0.736703
Sirdaryo Region,Shirin city,0,0,13,0.0000000000,0.000000
Sirdaryo Region,Yangiyer city,0,0,47,0.0000000000,0.000000
Sirdaryo Region,Gulistan city,1,4,1561,0.2562459962,0.064061
Sirdaryo Region,Saykhunabad,247,133,43631,0.3048291352,0.566111
Sirdaryo Region,Gulistan,124,87,35607,0.2443339793,0.348246
Sirdaryo Region,Akaltin,134,201,64776,0.3103001112,0.206867
Sirdaryo Region,Sirdarya,490,264,76218,0.3463748721,0.642893
