region_id,landcover_class,area_ha
Sayram District,20,88.28999999999999
Sayram District,30,38321.64
Sayram District,40,55756.079999999994
Sayram District,50,10685.609999999999
Sayram District,60,73.44
Sayram District,80,61.65
Sayram District,90,244.79999999999998
Sayram District,116,70.56
Sayram District,126,192.06
Maktaaral District,20,2278.7999999999997
Maktaaral District,30,1610.01
Maktaaral District,40,74130.03
Maktaaral District,50,4306.32
Maktaaral District,80,48.15
Maktaaral District,90,1227.1499999999999
Maktaaral District,116,202.32
Maktaaral District,126,90.45
Saryagash District,20,673.02
Saryagash District,30,251784.0
Saryagash District,40,151093.53
Saryagash District,50,7947.99
Saryagash District,60,73.17
Saryagash District,80,293.4
Saryagash District,90,140.48999999999998
Saryagash District,116,3.69
Saryagash District,126,67.14
Arys,20,42593.58
Arys,30,481254.38999999996
Arys,40,72865.98
Arys,50,2372.58
Arys,60,12059.64
Arys,80,10256.94
Arys,90,18201.059999999998
Arys,116,5.04
Arys,126,731.0699999999999
Kazygurt District,20,1068.57
Kazygurt District,30,276579.99
Kazygurt District,40,125027.64
Kazygurt District,50,3789.54
Kazygurt District,60,201.69
Kazygurt District,80,9.27
Kazygurt District,90,82.35
Kazygurt District,111,16.38
Kazygurt District,116,1918.98
Kazygurt District,126,3179.16
Keles District,20,844.02
Keles District,30,204564.33
Keles District,40,139679.55
Keles District,50,3167.5499999999997
Keles District,60,139.85999999999999
Keles District,80,1050.03
Keles District,90,286.65
Keles District,116,19.529999999999998
Keles District,126,53.82
Ordabasy District,20,1594.71
Ordabasy District,30,133055.01
Ordabasy District,40,119067.56999999999
Ordabasy District,50,5381.82
Ordabasy District,60,75.24
Ordabasy District,80,1669.5
Ordabasy District,90,2750.4
Ordabasy District,116,137.25
Ordabasy District,126,43.65
Sozak District,0,296.28
Sozak District,20,190361.16
Sozak District,30,3635162.3699999996
Sozak District,40,27090.629999999997
Sozak District,50,824.76
Sozak District,60,199889.46
Sozak District,80,21430.98
Sozak District,90,36845.729999999996
Sozak District,116,30.959999999999997
Sozak District,126,160.65
Shardara District,20,43682.04
Shardara District,30,1081142.01
Shardara District,40,93423.42
Shardara District,50,2667.42
Shardara District,60,4736.7
Shardara District,80,38761.74
Shardara District,90,24599.969999999998
Shardara District,116,166.5
Shardara District,126,1650.6
Baydibek District,20,481.85999999999996
Baydibek District,30,600129.63
Baydibek District,40,115315.29
Baydibek District,50,1788.84
Baydibek District,60,18.27
Baydibek District,80,249.84
Baydibek District,90,435.24
Baydibek District,111,6.93
Baydibek District,116,1078.56
Baydibek District,126,1643.22
Kentau,20,13202.55
Kentau,30,648702.36
Kentau,40,83037.42
Kentau,50,4462.5599999999995
Kentau,60,2588.7599999999998
Kentau,80,3629.43
Kentau,90,13566.33
Kentau,116,13.68
Kentau,126,146.51999999999998
Zhetisay District,20,434.07
Zhetisay District,30,1768.4099999999999
Zhetisay District,40,91720.89
Zhetisay District,50,5643.0
Zhetisay District,80,42.12
Zhetisay District,90,186.66
Zhetisay District,116,1.44
Zhetisay District,126,3.51
Turkestan,20,1634.31
Turkestan,30,13753.89
Turkestan,40,6578.46
Turkestan,50,6176.5199999999995
Turkestan,60,3.42
Turkestan,90,18.63
Turkestan,126,0.8099999999999999
Tulkibas District,20,878.9399999999999
Tulkibas District,30,169689.15
Tulkibas District,40,53422.02
Tulkibas District,50,4115.43
Tulkibas District,60,1437.3
Tulkibas District,70,136.26
Tulkibas District,80,22.14
Tulkibas District,90,61.739999999999995
Tulkibas District,111,26.55
Tulkibas District,113,0.8999999999999999
Tulkibas District,116,1745.82
Tulkibas District,126,2717.0099999999998
Otyrar District,0,112.22999999999999
Otyrar District,20,540425.52
Otyrar District,30,1042339.14
Otyrar District,40,69274.34999999999
Otyrar District,50,1146.4199999999998
Otyrar District,60,121160.79
Otyrar District,80,5162.22
Otyrar District,90,12887.369999999999
Otyrar District,116,48.42
Otyrar District,126,1343.1599999999999
Tole Bi District,20,1809.27
Tole Bi District,30,228769.38
Tole Bi District,40,36605.79
Tole Bi District,50,4076.2799999999997
Tole Bi District,60,12405.51
Tole Bi District,70,6567.3
Tole Bi District,80,30.509999999999998
Tole Bi District,90,83.78999999999999
Tole Bi District,111,37.17
Tole Bi District,113,34.56
Tole Bi District,116,4143.33
Tole Bi District,123,0.36
Tole Bi District,126,3979.35
Turkistan Region,0,408.51
Turkistan Region,20,842050.71
Turkistan Region,30,8808625.709999999
Turkistan Region,40,1314088.65
Turkistan Region,50,68552.64
Turkistan Region,60,354863.25
Turkistan Region,70,6703.5599999999995
Turkistan Region,80,82717.92
Turkistan Region,90,111618.36
Turkistan Region,111,87.03
Turkistan Region,113,35.46
Turkistan Region,116,9586.08
Turkistan Region,123,0.36
Turkistan Region,126,16002.18
Sirdaryo Region,20,15127.83
Sirdaryo Region,30,47061.27
Sirdaryo Region,40,330937.11
Sirdaryo Region,50,25369.92
Sirdaryo Region,60,456.93
Sirdaryo Region,80,6759.63
Sirdaryo Region,90,8230.05
Sirdaryo Region,116,295.56
Sirdaryo Region,126,1066.95
Sardoba,20,1729.26
Sardoba,30,6625.62
Sardoba,40,45650.61
Sardoba,50,1023.5699999999999
Sardoba,60,29.61
Sardoba,80,584.37
Sardoba,90,259.56
Sardoba,116,0.63
Sardoba,126,17.73
Khavas,20,3775.95
Khavas,30,11861.189999999999
Khavas,40,43852.409999999996
Khavas,50,4017.69
Khavas,60,170.45999999999998
Khavas,80,1128.6
Khavas,90,497.7
Khavas,126,4.32
Mirzaabad,20,8490.6
Mirzaabad,30,22760.19
Mirzaabad,40,44595.72
Mirzaabad,50,2591.46
Mirzaabad,60,146.88
Mirzaabad,80,3747.06
Mirzaabad,90,1492.3799999999999
Mirzaabad,116,12.059999999999999
Mirzaabad,126,6.39
Bayaut,20,1665.8999999999999
Bayaut,30,2506.5899999999997
Bayaut,40,32308.739999999998
Bayaut,50,3236.7599999999998
Bayaut,60,6.12
Bayaut,80,206.73
Bayaut,90,232.56
Bayaut,116,4.41
Bayaut,126,11.25
Shirin city,40,12.87
Yangiyer city,30,1.71
Yangiyer city,40,19.439999999999998
Yangiyer city,50,26.099999999999998
Gulistan city,20,71.73
Gulistan city,30,117.72
Gulistan city,40,697.41
Gulistan city,50,674.28
Saykhunabad,20,353.25
Saykhunabad,30,1171.35
Saykhunabad,40,38646.45
Saykhunabad,50,2637.9
Saykhunabad,60,20.34
Saykhunabad,80,94.77
Saykhunabad,90,430.2
Saykhunabad,116,100.97999999999999
Saykhunabad,126,177.03
Gulistan,20,257.58
Gulistan,30,714.3299999999999
Gulistan,40,29725.11
Gulistan,50,4673.07
Gulistan,60,1.7999999999999998
Gulistan,80,35.37
Gulistan,90,191.60999999999999
Gulistan,126,8.73
Akaltin,20,341.19
Akaltin,30,855.0899999999999
Akaltin,40,62384.85
Akaltin,50,1050.21
Akaltin,80,78.03
Akaltin,90,64.8
Akaltin,126,0.54
Sirdarya,20,617.67
Sirdarya,30,2654.91
Sirdarya,40,60937.829999999994
Sirdarya,50,6489.09
Sirdarya,60,24.119999999999997
Sirdarya,80,348.21
Sirdarya,90,4650.48
Sirdarya,116,119.88
Sirdarya,126,375.03
