ADM1_EN,ADM2_EN,damage_20,damage_30,damage_40,damage_50,damage_60,damage_80,damage_90,damage_116,damage_126
Turkistan Region,Sayram District,13,41,47,3,7,17,97,0,2
Turkistan Region,Maktaaral District,258,287,7510,6,0,0,87,0,0
Turkistan Region,Saryagash District,14,70,75,6,0,11,33,2,4
Turkistan Region,Arys,36,152,22,0,71,58,17,0,1
Turkistan Region,Kazygurt District,6,40,31,6,0,1,15,0,0
Turkistan Region,Keles District,64,331,519,1,0,49,26,0,0
Turkistan Region,Ordabasy District,3,51,77,0,0,7,80,0,0
Turkistan Region,Sozak District,0,843,259,0,8931,7,2528,0,0
Turkistan Region,Shardara District,169,592,7748,14,17,91,1003,1,22
Turkistan Region,Baydibek District,0,22,12,0,0,0,4,0,0
Turkistan Region,Kentau,5,163,56,0,8,21,279,0,0
Turkistan Region,Zhetisay District,26,96,2173,0,0,4,77,0,0
Turkistan Region,Turkestan,0,9,0,0,0,0,0,0,0
Turkistan Region,Tulkibas District,0,1,9,0,2,0,2,0,0
Turkistan Region,Otyrar District,28,278,95,0,46,103,114,0,1
Turkistan Region,Tole Bi District,0,39,3,1,6,0,1,0,0
Turkistan Region,,622,3015,18636,37,9088,369,4363,3,30
Sirdaryo Region,,6304,10957,10500,43,15,351,3465,3,46
Sirdaryo Region,Sardoba,122,1068,214,0,0,8,76,0,3
Sirdaryo Region,Khavas,64,84,46,1,0,4,21,0,0
Sirdaryo Region,Mirzaabad,5762,9189,7162,5,9,274,2336,0,10
Sirdaryo Region,Bayaut,244,460,452,7,3,42,76,0,0
Sirdaryo Region,Shirin city,0,0,0,0,0,0,0,0,0
Sirdaryo Region,Yangiyer city,0,0,0,0,0,0,0,0,0
Sirdaryo Region,Gulistan city,4,5,32,0,0,0,0,0,0
Sirdaryo Region,Saykhunabad,5,64,1367,1,0,2,29,2,5
Sirdaryo Region,Gulistan,19,127,631,24,0,0,164,0,3
Sirdaryo Region,Akaltin,369,169,1620,2,0,3,69,0,0
Sirdaryo Region,Sirdarya,5,30,2415,0,0,9,453,1,22
